Logo,Title,Location,Company,Description,ApplyLink,Job_type
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/7833bf07.jpg=s64x64,Customer Service Assistant,"Oceanside, CA",HB Staffing,The Customer Service Assistant (CSA) must possess exemplary skills in communication and be able to assist all customers. The CSA will help further all goals and objectives in providing top-notch ...,https://www.shipt.com/be-a-shopper/?rx_job=gshi-vista-ca-20201106&utm_source=ziprecruiter&utm_medium=job_board_promoted&utm_campaign=cpc_job_posting_sandiego&rx_source=ZipRecruiter&rx_campaign=ZipRecruiter100&rx_medium=cpc&rx_ts=20201116T152108Z&rx_job=gshi-vista-ca-20201106&rx_group=20201116&rx_p=5f3116c7-15c4-4a16-8f7f-dae5c535374d&rx_viewer=ccffeb6b282f11eba2fd51366aee0ddf9537bf4f510c4847802604e3e46154da,Temporary
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Truck Driver - Recent Grads Welcome - Excellent Benefits,"Vista, CA",CRST Expedited - Recent Grads California,"Decide Your Destiny Do you have your Class A CDL? Are you looking for experience? CRST is hiring Recent Truck Driving School Graduates! When you drive for us, you get the freedom to decide your ...",https://click.appcast.io/track/62kxo4y?cs=2h&jg=1c3&bid=6SfCT6uWOcjrCLQdQmg2WA==&cid=9ee6d163-4ca6-4e31-a2b1-2bd421d2d65b,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Customer Support Representative,"Solana Beach, CA",Kelly Services,"Seeking experienced Customer Service Representatives for a Temp to Hire opportunity within healthcare in Solana Beach, CA! Pay Rate: $20/hr. QUALIFICATIONS: * Proven excellence in Customer Service ...",https://click.appcast.io/track/5qcoy1r?cs=2h&jg=2y4k&bid=Ymgocxdk3VZBoJOat4BP2A==&cid=31c0a13c-755d-4628-919b-541338805c6d,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Local CDL A/B Delivery Truck Drivers - Home Daily - Full Time,"San Marcos, CA",Ferrellgas,"Now Hiring Local CDL A/B Delivery Drivers! Full-Time & Home Daily Benefits: * Local routes and territories - home every night * Medical, Dental, Vision, and Prescription Insurance Plans * 401(k) plan ...",https://drive4ashleydistribution.com/ltl-regional?utm_source=ziprecruiter&utm_medium=cpc&utm_campaign=hn_ltl_w_redlands_ca_ziprecruiter&r=leadflex_zip_ltl&id=64889-93730-522089747,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/dc0d1df2.jpeg=s64x64,Customer Service Representative (WORK FROM HOME),"Carlsbad, CA",Morphius Corp,"What we do is coordinate benefits for labor unions, credit unions, and associations. Working with police departments, firefighters, teachers, postal workers and other labor unions as well. We have ...",https://click.appcast.io/track/5k89x2y?cs=bb6&jg=ydx&bid=Xg7CqJSvIPBmbJ85kAaL1A==&cid=c8ecbb3d-34c4-4145-a1be-ff18f2025965,
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,CDL-A HOUSEHOLD GOODS MOVER LEASE PURCHASE TRUCK DRIVER JOBS,"Vista, CA",United Van Lines,"Drive How You Want. Drive Where You Want. Whether it's regional or OTR Owner Operator truck driver job opportunities that you're on the hunt for, United has a number of immediate positions open to CD ...",https://drive4ashleydistribution.com/?utm_source=ziprecruiter&utm_medium=cpc&utm_campaign=hn_ptp_w_redlands_ca_ziprecruiter&r=leadflex_zip_ptp&id=64886-93729-522089747,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/e20e341d.jpeg=s64x64,Customer Service Representative - Virtual Interview,"San Diego, CA",AIL,Customer Service Representative Our organization is looking for a Customer Service Representative who is looking for an opportunity to help our members protect their families. We work closely with ...,https://click.appcast.io/track/6436b0q?cs=9t&jg=gxz&bid=mZMtccklLBaSWFOs8aMwew==&cid=90932b88-06ac-4275-bae1-c54b6e4b98d0,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Customer Service Representative,"San Marcos, CA",EDCO WASTE AND RECYCLING,"Job Description Primary Responsibilities:  Answer a high volume of incoming phone calls consisting of inquiries, orders, service issues  Assist with the needs of customers  Input information ...",https://careers-agencystaffcandidate.icims.com/jobs/2436/login?mode=prepopulate&iis=ZipRecruiter&iisn=ZipRecruiter&mode=prepopulate&iis=external&iisn=ZipRecruiter,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Sales Associate,"San Diego, CA",Reyes Beer Division,"Position Summary: Training focused role to prepare employees for an Account Manager position. This could include making daily sales calls, merchandising, and maintain positive relationships with area ...",https://careers-agencystaffcandidate.icims.com/jobs/2436/login?mode=prepopulate&iis=ZipRecruiter&iisn=ZipRecruiter&mode=prepopulate&iis=external&iisn=ZipRecruiter,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/e1f7ff71.gif=s64x64,Call Center Representative,"Escondido, CA",ARS National Services Inc.,"ACCOUNT REPRESENTATIVE (PAID TRAINING AND MONTHLY BONUS) Start the New Year with a New Job and New Career. Now more than ever, our jobs matter and we all want a career we can rely on. At ARS we are ...",https://www.ziprecruiter.com/jobs/san-diego-premier-marketing-inc-bf2d3d25/csr-customer-service-representative-ft-pt-a0e8310c?lvk=I6LBGAnPBJeU_plWaPEWmA.--LoA9dSCjk,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,"1st Shift GMP Filling / Packaging Technician, Carlsbad, CA","Carlsbad, CA",Kelly Services,"1st Shift GMP Filling / Packaging Laboratory Technician, Carlsbad, CA Seeking experienced Filling/Packaging Lab Technicians to support our manufacturing operations. This role requires following lab ...",https://click.appcast.io/track/64370l8?cs=9t&jg=gus&bid=XaXrChmNdvVq4OMqX54qmA==&cid=456e24fa-9c52-4f00-95cb-a83dc2107ce2,
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,CDL-A Specialized Goods Truck Driver Jobs - OTR,"Oceanside, CA",United Van Lines,"United Van Lines has local, regional or OTR truck driver job opportunities for CDL-A truck drivers open now! Boost your truck driving business with United Van Lines! United Van Lines has immediate CD ...",https://click.appcast.io/track/5wic70y?cs=qd&jg=21al&bid=MkxfkxHVNHxAv5IA5hXDwQ==&cid=df181a68-3ba6-40cc-8f55-7ea68daeff1d,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/4dcc3000.jpeg=s64x64,Customer Service Retention Specialist,"San Diego, CA",Sedona Staffing San Diego,Call Center - Customer Care Retention in Rancho Bernardo CA Long Term potential Temp to Hire Order # 197736 This position will include: Taking incoming calls and assessing issues and problem solving ...,https://www.ziprecruiter.com/jobs/lawson-products-25547512/sales-representative-871b2e6c?lvk=AtjydMkIEnn_sWGeCcyAeg.--LnRCrRea7,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/8485ae51.jpeg=s64x64,Outside Sales Professional,"Escondido, CA",Terminix,"For more than 85 years, Terminix has built a reputation as one of the nations leading providers of termite and pest control services, safeguarding over 3 million homes and businesses against all ...",https://click.appcast.io/track/5hr1xr4?cs=hza&exch=16&jg=30te&bid=iyI6yvVMA6BOeF8aWQ6MIw==&cid=63f9daa5-ed6c-447e-88fd-1879e471a87f,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/362e26e6.png=s64x64,Shipping and Receiving Associate/Warehouse,"Vista, CA",PrideStaff,"PrideStaff is NOW hiring Shipping/Receiving/ Warehouse Associates for a growing Manufacturing company in Vista, CA. We are looking for a Highly Energetic Shipping/Receiving Warehouse Associates to ...",https://click.appcast.io/track/60rxwd2?cs=1w&jg=25xb&bid=QxH16uPCf4n_gjg09iqDlw==&cid=6466e9fc-9a13-4b0b-bc93-e94c7a3f683a,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Customer Service Representative,"Murrieta, California",Big B's Plumbing,"Who we are You're the best and you want to join a team that appreciates you, where you can create your own opportunities. We keep on growing because we only hire the best, and our customers love us ...",https://schneiderjobs.com/search-driving-jobs/details/201625?source=JobTarget%20via%20ZipRecruiter&utm_source=JobTarget&utm_medium=ZipRecruiter&utm_campaign=Class%20A%20CDL%20-%20Dedicated%20Truck%20Driver%20Nissan%20(201625-CALIFORNIA-TEMECULA)&src=JB-13120&_jtochash=6eWPMyfrPm4BsorzTBOGD&_jtocprof=9amkc9b65K_JaCqkhqVdpCwMeL1LPYeD,Full-Time
https://www.ziprecruiter.com/svc/fotomat/public-ziprecruiter/uploads/a1097c21.png=s64x64,Sales Support Specialist - 12199,"Escondido, CA",TalentZok,"Sales Support Specialist - TalentZok OVERVIEW Are you looking for a new career opportunity with an exciting company?! Then we have got the right team for you! In this role, you are responsible for ...",https://click.appcast.io/track/5pw658b?cs=1w&jg=25xb&bid=QxH16uPCf4n_gjg09iqDlw==&cid=215a9e55-3eb3-4eb8-a50f-3d9c688f0b40,Contractor
