Logo,Title,Location,Company,Description,ApplyLink,Job_type
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Customer Service/Sales,"Vista, CA",The Home Depot,"Customer Service/Sales associates provide fast, friendly service by actively seeking out customers to assess their needs and provide assistance. These associates learn about products using our tools ...",https://www.jobsrus.com/JobDetail.aspx?utm_source=Jobstalker-ZipRecruiter&JobOrderID=260513,
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Grocery Shopper - Hiring Immediately,"VISTA, CA",Shipt,"Shipt is a membership-based marketplace that helps people get the things they need, like fresh produce and household essentials, from stores they trust. Help people save time and have fun while you ...",https://www.ziprecruiter.com/jobs/csl-staffing-f040cd79/healthcare-customer-service-representative-93b953ba?lvk=e7pmE8hGChqfux5EeA7Eng.--LnrIZxYno,Part-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Freight/Receiving,"Vista, CA",The Home Depot,"Associates in Freight/Receiving positions ensure the store is stocked and ready for business every day. They load and unload trucks, move material from the receiving area throughout the store, may ...",https://www.ziprecruiter.com/jobs/new-york-life-insurance-company-a378a0a6/bilingual-sales-professional-264ab239?lvk=svYQ4dspK63kXPPmy8wuNQ.--LmppyNgI3,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Regional CDL A Truck Drivers w/ Doubles Endorsements - Home 2-3 Days a week - Brand New Trucks,"Oceanside, CA",Futuro Trucking Inc.,"Futuro Trucking, Inc. Is now hiring experienced CDL A Truck Drivers! We have close to 30 trucks in our company and are looking for Professional Driver's looking to make some good miles. Our routes ...",https://click.appcast.io/track/5smuais?cs=fo4&jg=2rt7&bid=q4vrqYs61qv7kasNeA5Aeg==&cid=3b910f3c-9dd3-4c94-a7e7-1e428641c11b,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,"Class A CDL Commercial Truck Driver - Night Shift - 2,000 Sign-On Bonus","Murrieta, CA",CarMax,"4001 - Murrieta Auction - 25560 Madison Ave, Murrieta, California, 92563 CarMax, the way your career should be! Now offering a $2,000 Sign-On Bonus Create a World Class logistics and fleet movement ...",https://www.ziprecruiter.com/ojob/d205467dba2889f1ecd85df311e58cd8?lvk=g0Bp_Jl1973MT0pNIFCPYA.--LntWICICs,
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,LTL Regional CDL-A Truck Driver Jobs,"Vista, CA",Ashley Distribution Services,"Ambassadors Wanted: Get Home Weekly! Ashley Distribution Services LTD, voted one of America's best companies to drive for, is now hiring CDL-A truck driving professionals for LTL Regional ...",https://retailjobs-hanesbrands.icims.com/jobs/16071/seasonal-part-time-sales-associate--hanesbrands%2c-san-clemente-ca/job?in_iframe=1?mode=apply&iis=Job+Board&iisn=ZipRecruiter,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Outside Sales Representative,"Vista, California",Allstate,"Outside Sales Representative As an Allstate sales professional, you will be rewarded for helping Allstate agency owners engage all prospects in the market including the growing consumer segments.",https://www.ziprecruiter.com/jobs/targetcw-69111d9e/shipping-associate-4f7b2e8e?lvk=weDpu1JdDAldTGdW4Qqu4w.--LnqCPTcAN,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Sales Representative,"Vista, California",Allstate,"Sales Representative Are you looking for a meaningful career in a local business that has national brand support people to recognize and trust? As an Insurance Sales Professional, you will help grow ...",https://www.ziprecruiter.com/jobs/pacific-freight-inc-83782a50/class-a-cdl-driver-53bf3c5e?lvk=frxCrC63S0CR2u-eF1iq3A.--Lnq7KSZWV,Contractor
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Regional CDL-A Truck Driver Jobs,"Vista, CA",Ashley Distribution Services,"Regional CDL-A Truck Driver Jobs At Ashley Distribution Services LTD Join one of America's best companies to drive for today! Ashley Distribution Services, LTD is currently seeking ambassadors for ...",https://www.ziprecruiter.com/jobs/easypay-finance-4225d2c8/customer-service-representative-4337b9ae?lvk=UC2VKB_C8ecyqNbyP8jiHA.--Lmg-qXoZs,Full-Time
https://www.ziprecruiter.com/zrs/9927a89e/img/candidate/business.svg,Become a Truck Driver - Immediately Hiring - No Experience!,"VISTA, CA",C.R. England,"No CDL? No Problem! We Train, We Hire, We Pay. $0 Out-Of-Pocket To Start! $0 Upfront Tuition! You can get your CDL in just 21-days! As a family-owned company, we have top-of-the-line equipment ...",https://www.ziprecruiter.com/jobs/diamond-environmental-services-lp-316ef3f4/pumper-service-driver-c6975042?lvk=w44Iq4APwa2jS4ffn2RmSA.--LnuNMj4n7,Full-Time
